trial,date,tank,urchinGroup,pycnoTreat,algalTreat,minutes,interacting
014,2021-08-19,TF1,fed,control,nereo,20,0
014,2021-08-19,TF1,fed,control,nereo,25,0
014,2021-08-19,TF1,fed,control,nereo,30,0
014,2021-08-19,TF1,fed,control,nereo,35,0
014,2021-08-19,TF1,fed,control,nereo,40,0
014,2021-08-19,TF1,fed,control,nereo,45,0
014,2021-08-19,TF1,fed,control,nereo,50,0
014,2021-08-19,TF1,fed,control,nereo,55,0
014,2021-08-19,TF1,fed,control,nereo,60,0
015,2021-08-19,TF2,fed,control,nereo,5,0
015,2021-08-19,TF2,fed,control,nereo,10,0
015,2021-08-19,TF2,fed,control,nereo,15,0
015,2021-08-19,TF2,fed,control,nereo,20,0
015,2021-08-19,TF2,fed,control,nereo,25,0
015,2021-08-19,TF2,fed,control,nereo,30,0
015,2021-08-19,TF2,fed,control,nereo,35,0
015,2021-08-19,TF2,fed,control,nereo,40,0
015,2021-08-19,TF2,fed,control,nereo,45,0
015,2021-08-19,TF2,fed,control,nereo,50,0
015,2021-08-19,TF2,fed,control,nereo,55,0
015,2021-08-19,TF2,fed,control,nereo,60,0
016,2021-08-19,TF1,fed,pycno,control,5,0
016,2021-08-19,TF1,fed,pycno,control,10,0
016,2021-08-19,TF1,fed,pycno,control,15,0
016,2021-08-19,TF1,fed,pycno,control,20,0
016,2021-08-19,TF1,fed,pycno,control,25,0
016,2021-08-19,TF1,fed,pycno,control,30,0
016,2021-08-19,TF1,fed,pycno,control,35,0
016,2021-08-19,TF1,fed,pycno,control,40,0
016,2021-08-19,TF1,fed,pycno,control,45,0
016,2021-08-19,TF1,fed,pycno,control,50,0
016,2021-08-19,TF1,fed,pycno,control,55,0
016,2021-08-19,TF1,fed,pycno,control,60,0
017,2021-08-20,TF2,starved,control,nereo,5,1
017,2021-08-20,TF2,starved,control,nereo,10,1
017,2021-08-20,TF2,starved,control,nereo,15,1
017,2021-08-20,TF2,starved,control,nereo,20,1
017,2021-08-20,TF2,starved,control,nereo,25,1
017,2021-08-20,TF2,starved,control,nereo,30,1
017,2021-08-20,TF2,starved,control,nereo,35,1
017,2021-08-20,TF2,starved,control,nereo,40,1
017,2021-08-20,TF2,starved,control,nereo,45,1
017,2021-08-20,TF2,starved,control,nereo,50,1
017,2021-08-20,TF2,starved,control,nereo,55,1
017,2021-08-20,TF2,starved,control,nereo,60,1
018,2021-08-20,TF1,fed,pycno,control,5,0
018,2021-08-20,TF1,fed,pycno,control,10,0
018,2021-08-20,TF1,fed,pycno,control,15,0
018,2021-08-20,TF1,fed,pycno,control,20,0
018,2021-08-20,TF1,fed,pycno,control,25,0
018,2021-08-20,TF1,fed,pycno,control,30,0
018,2021-08-20,TF1,fed,pycno,control,35,0
018,2021-08-20,TF1,fed,pycno,control,40,0
018,2021-08-20,TF1,fed,pycno,control,45,0
018,2021-08-20,TF1,fed,pycno,control,50,0
018,2021-08-20,TF1,fed,pycno,control,55,0
018,2021-08-20,TF1,fed,pycno,control,60,0
019,2021-08-20,TF2,fed,pycno,nereo,5,0
019,2021-08-20,TF2,fed,pycno,nereo,10,0
019,2021-08-20,TF2,fed,pycno,nereo,15,0
019,2021-08-20,TF2,fed,pycno,nereo,20,0
019,2021-08-20,TF2,fed,pycno,nereo,25,0
019,2021-08-20,TF2,fed,pycno,nereo,30,0
019,2021-08-20,TF2,fed,pycno,nereo,35,0
019,2021-08-20,TF2,fed,pycno,nereo,40,0
019,2021-08-20,TF2,fed,pycno,nereo,45,0
019,2021-08-20,TF2,fed,pycno,nereo,50,0
019,2021-08-20,TF2,fed,pycno,nereo,55,0
019,2021-08-20,TF2,fed,pycno,nereo,60,0
020,2021-08-20,TF1,fed,pycno,nereo,5,0
020,2021-08-20,TF1,fed,pycno,nereo,10,0
020,2021-08-20,TF1,fed,pycno,nereo,15,0
020,2021-08-20,TF1,fed,pycno,nereo,20,0
020,2021-08-20,TF1,fed,pycno,nereo,25,0
020,2021-08-20,TF1,fed,pycno,nereo,30,0
020,2021-08-20,TF1,fed,pycno,nereo,35,0
020,2021-08-20,TF1,fed,pycno,nereo,40,0
020,2021-08-20,TF1,fed,pycno,nereo,45,0
020,2021-08-20,TF1,fed,pycno,nereo,50,0
020,2021-08-20,TF1,fed,pycno,nereo,55,0.8
020,2021-08-20,TF1,fed,pycno,nereo,60,0
021,2021-08-21,TF2,fed,pycno,control,5,0.8
021,2021-08-21,TF2,fed,pycno,control,10,0.2
021,2021-08-21,TF2,fed,pycno,control,15,0
021,2021-08-21,TF2,fed,pycno,control,20,0
021,2021-08-21,TF2,fed,pycno,control,25,0
021,2021-08-21,TF2,fed,pycno,control,30,0
021,2021-08-21,TF2,fed,pycno,control,35,0
021,2021-08-21,TF2,fed,pycno,control,40,0
021,2021-08-21,TF2,fed,pycno,control,45,0
021,2021-08-21,TF2,fed,pycno,control,50,0
021,2021-08-21,TF2,fed,pycno,control,55,0
021,2021-08-21,TF2,fed,pycno,control,60,0
022,2021-08-21,TF1,starved,pycno,control,5,0
022,2021-08-21,TF1,starved,pycno,control,10,0
022,2021-08-21,TF1,starved,pycno,control,15,0
022,2021-08-21,TF1,starved,pycno,control,20,0
022,2021-08-21,TF1,starved,pycno,control,25,0
022,2021-08-21,TF1,starved,pycno,control,30,0
022,2021-08-21,TF1,starved,pycno,control,35,0
022,2021-08-21,TF1,starved,pycno,control,40,0
022,2021-08-21,TF1,starved,pycno,control,45,0
022,2021-08-21,TF1,starved,pycno,control,50,0
022,2021-08-21,TF1,starved,pycno,control,55,0
