mass_A
t,x,y,v,a,L
4.266666667E2,-4.706877638E-1,2.145377360E1,9.193999301E-2,1.774676168E-2,1.257986347E2
4.300000000E2,-2.290925508E-1,2.181204897E1,5.696509508E-2,2.448167144E-2,1.262307568E2
4.333333333E2,-3.512312486E-1,2.181426402E1,1.800603830E-2,9.315867301E-3,1.263529156E2
4.366666667E2,-1.090987644E-1,2.181538875E1,3.630642022E-2,4.309370807E-3,1.265950507E2
4.400000000E2,-1.092023206E-1,2.181685550E1,2.538750592E-2,6.563774902E-3,1.265965211E2
4.433333333E2,1.029292084E-2,2.193535208E1,4.039706668E-2,1.246325119E-2,1.267648082E2
4.466666667E2,1.135633887E-2,2.205767809E1,9.029022117E-2,2.006944388E-2,1.268871388E2
4.500000000E2,4.923571418E-1,2.229582344E1,5.414429226E-2,4.533947858E-2,1.274238650E2
4.533333333E2,-3.496040194E-1,2.205874951E1,2.970354083E-1,2.441546154E-2,1.282985665E2
4.566666667E2,-1.073292450E0,2.350829042E1,1.822995096E-2,6.660193689E-2,1.299187189E2
4.600000000E2,-2.281985960E-1,2.205318222E1,3.085114511E-1,1.768552709E-2,1.316014320E2
4.633333333E2,4.941799412E-1,2.217666657E1,1.051911376E-1,6.130311544E-2,1.323342889E2
4.666666667E2,3.736065280E-1,2.241320467E1,2.209350516E-1,3.522521281E-2,1.325997850E2
4.700000000E2,-7.062524064E-1,2.132320444E1,2.172072280E-1,7.176205223E-2,1.341341239E2
4.733333333E2,-6.998261640E-1,2.144130663E1,3.523038350E-1,6.275779482E-2,1.342524008E2
4.766666667E2,-2.263966873E-1,2.362235509E1,2.859255496E-1,4.556415506E-2,1.364842404E2
4.800000000E2,3.726876388E-1,2.301712371E1,1.779443698E-1,6.466744240E-2,1.373358313E2
4.833333333E2,6.098250133E-1,2.278090931E1,4.164144332E-1,2.461528842E-2,1.376705422E2
4.866666667E2,-1.193792252E0,2.530903361E1,5.790635420E-2,6.515625478E-2,1.407760933E2
4.900000000E2,7.363655495E-1,2.241619546E1,4.521036324E-1,2.296445323E-2,1.442537393E2
4.933333333E2,-3.496265298E-1,2.241564006E1,1.389701227E-1,1.971992299E-1,1.453397315E2
4.966666667E2,-1.166415735E-1,2.277774884E1,7.594337898E-1,5.185209208E-2,1.457703180E2
5.000000000E2,7.350228313E-1,2.736098236E1,8.001798233E-2,5.945155859E-2,1.504320089E2
5.033333333E2,-3.501190915E-1,2.325739515E1,2.830823831E-1,9.868141172E-2,1.546766480E2
5.066666667E2,-9.532029350E-1,2.651749107E1,2.350719518E-1,4.314386762E-2,1.579920568E2
5.100000000E2,1.096065211E0,2.386113237E1,4.403204637E-1,5.835520527E-2,1.613470145E2
5.133333333E2,1.011880797E-2,2.374458755E1,1.489274090E-1,7.913785377E-2,1.624391969E2
5.166666667E2,1.309593522E-1,2.362806457E1,3.647232584E-2,5.067234528E-2,1.626070660E2
5.200000000E2,2.532051911E-1,2.375009828E1,1.855237835E-1,7.829655641E-2,1.627797978E2
5.233333333E2,7.348722512E-1,2.470742820E1,5.076766232E-1,2.325429529E-2,1.638514711E2
5.266666667E2,-1.091260349E-1,2.711515840E1,3.783782136E-1,5.280509785E-2,1.664028429E2
5.300000000E2,9.672681567E-3,2.712345798E1,5.737447891E-2,5.800277070E-2,1.665219311E2
5.333333333E2,2.519773406E-1,2.724128510E1,6.461971924E-2,4.522271808E-2,1.667913653E2
5.366666667E2,-3.510330406E-1,2.735899653E1,2.515373619E-1,2.138643732E-2,1.674057573E2
5.400000000E2,-5.931072761E-1,2.579287963E1,2.180575462E-1,8.607454515E-2,1.689904725E2
5.433333333E2,-9.529224559E-1,2.603573459E1,3.461561941E-1,6.317587104E-2,1.694245755E2
5.466666667E2,1.099044405E0,2.736199999E1,3.078354288E-1,5.345205177E-2,1.718678414E2
5.500000000E2,3.722102733E-1,2.760280084E1,1.557018904E-1,1.023361966E-1,1.726335260E2
5.533333333E2,4.946988780E-1,2.651805885E1,4.184106853E-1,2.901471253E-2,1.737251617E2
5.566666667E2,6.144657675E-1,2.482393594E1,2.291095540E-1,7.146892221E-2,1.754235129E2
5.600000000E2,9.765147815E-1,2.506864686E1,1.622794949E-1,4.297681381E-2,1.758605059E2
5.633333333E2,1.099075766E0,2.579119048E1,8.007127847E-2,2.803682977E-2,1.765933705E2
5.666666667E2,4.962617984E-1,2.530168894E1,2.184496898E-1,1.875809893E-2,1.773698989E2
5.700000000E2,1.217038355E0,2.724273641E1,3.106269904E-1,�,1.794404506E2
5.733333333E2,1.214611145E0,2.724395048E1,�,�,1.794431645E2
5.766666667E2,1.219345084E0,�,�,�,�
5.800000000E2,8.333333333E-1,2.541666667E1,�,�,�
5.833333333E2,9.561714209E-1,2.551749751E1,3.729002675E-2,�,�
5.866666667E2,1.054993506E0,2.552922250E1,5.538913246E-4,3.896012752E-3,�
5.900000000E2,9.564007072E-1,2.552118300E1,1.633907712E-3,4.514129804E-3,�
5.933333333E2,1.065861855E0,2.552995072E1,3.999143400E-2,7.283618730E-3,�
5.966666667E2,1.186763179E0,2.565539846E1,5.026001592E-2,6.061350207E-3,�
6.000000000E2,1.303352853E0,2.576631436E1,6.543596669E-2,5.282743252E-3,�
6.033333333E2,1.429909342E0,2.601759328E1,8.504607276E-2,2.862539030E-3,�
6.066666667E2,1.546937709E0,2.627829652E1,5.897379641E-2,4.422289838E-2,�
6.100000000E2,1.557087992E0,2.638961385E1,3.239971912E-1,2.168168381E-2,�
6.133333333E2,1.677453450E0,2.843433101E1,3.288660010E-1,2.550460365E-2,�
6.166666667E2,1.922437190E0,2.855139856E1,4.050734846E-2,9.566558629E-2,�
6.200000000E2,1.858429578E0,2.863476578E1,2.347760052E-1,2.214147305E-2,�
6.233333333E2,1.794506540E0,2.699146221E1,2.613909495E-2,2.379294018E-3,�
6.266666667E2,1.800310286E0,2.879904882E1,1.761213066E-2,3.573823973E-3,�
6.300000000E2,1.779925692E0,2.710796755E1,2.189998929E-1,1.304873390E-2,�
6.333333333E2,1.679991118E0,2.734401576E1,8.701410708E-2,4.903282726E-2,�
6.366666667E2,1.808258803E0,2.768736926E1,8.127291428E-2,6.461068606E-3,�
6.400000000E2,1.909454484E0,2.783484654E1,6.602619707E-2,8.278375858E-3,�
6.433333333E2,2.047867631E0,2.805661353E1,3.921378251E-2,4.460031172E-3,�
6.466666667E2,2.018985648E0,2.807221981E1,3.931573852E-2,4.126630295E-3,�
6.500000000E2,2.030445278E0,2.831813877E1,3.581772764E-2,3.564351475E-3,�
6.533333333E2,2.036100335E0,2.831039053E1,2.474903424E-2,2.026819463E-3,�
6.566666667E2,2.147505375E0,2.843441348E1,4.149948617E-2,6.672963181E-3,�
6.600000000E2,2.160561867E0,2.855747731E1,5.857388836E-2,2.802218779E-2,�
6.633333333E2,2.281950498E0,2.880103178E1,1.847335936E-1,2.008562429E-2,�
6.666666667E2,1.573226626E0,2.963996087E1,1.765229449E-2,4.166838435E-2,�
6.700000000E2,2.399375129E0,2.879325358E1,2.178775087E-1,2.046693946E-2,�
6.733333333E2,2.158958154E0,2.831077939E1,9.707632988E-2,3.060618919E-2,�
6.766666667E2,2.160811504E0,2.819165274E1,2.433987839E-2,2.562993918E-2,�
6.800000000E2,2.273061289E0,2.819540746E1,6.509887534E-2,1.071261233E-2,�
6.833333333E2,2.397746886E0,2.855526121E1,7.458211540E-2,1.036244615E-1,�
6.866666667E2,2.406100488E0,2.867449246E1,5.620894348E-1,3.870754407E-2,�
6.900000000E2,1.434690908E0,2.493386612E1,1.808222866E-1,1.160164558E-1,�
6.933333333E2,3.368501841E0,2.794856528E1,6.342658522E-1,7.717111662E-2,�
6.966666667E2,1.315462942E0,2.916062388E1,3.548145643E-1,1.027469849E-1,�
7.000000000E2,1.329841029E0,2.914819989E1,4.045526090E-2,6.200885634E-2,�
7.033333333E2,1.213981491E0,2.891074282E1,4.013098382E-2,7.614980803E-3,�
7.066666667E2,1.233205860E0,2.889872196E1,2.407267617E-2,2.067652726E-3,�
7.100000000E2,1.308638669E0,2.904033949E1,1.587256464E-2,5.608054509E-3,�
7.133333333E2,1.200288667E0,2.879815499E1,2.596058380E-2,2.153654950E-3,�
7.166666667E2,1.437243338E0,2.915615942E1,2.510163333E-2,2.249503838E-3,�
7.200000000E2,1.318310514E0,2.891679281E1,4.082065351E-2,1.721987776E-2,�
7.233333333E2,1.334073969E0,2.890433607E1,5.705312487E-2,9.023852595E-3,�
7.266666667E2,1.181033347E0,2.856207564E1,1.603616181E-2,1.458758013E-3,�
7.300000000E2,1.301158258E0,2.880262165E1,5.884283018E-3,1.080987166E-3,�
7.333333333E2,1.215476423E0,2.854329922E1,5.795017774E-2,4.918478622E-3,�
7.366666667E2,1.201411608E0,2.842938585E1,1.818365710E-2,5.639703254E-3,�
7.400000000E2,1.208398791E0,2.842228163E1,1.767660475E-2,1.592812708E-3,�
7.433333333E2,1.197495868E0,2.831160689E1,1.682550480E-2,1.539298275E-3,�
7.466666667E2,1.204761835E0,2.831017057E1,1.811130897E-3,2.759900370E-3,�
7.500000000E2,1.209009789E0,2.830797150E1,1.867528227E-3,9.851354035E-3,�
7.533333333E2,1.215476093E0,2.830382929E1,5.745509680E-2,4.792096919E-3,�
7.566666667E2,1.082022185E0,2.794660025E1,3.219842862E-3,9.898115426E-3,�
7.600000000E2,1.232629139E0,2.829092403E1,5.688815029E-2,2.033843718E-3,�
7.633333333E2,1.202477758E0,2.830621714E1,4.005123015E-2,1.326276868E-2,�
7.666666667E2,1.104267260E0,2.805679456E1,4.089612706E-2,4.306760457E-2,�
7.700000000E2,1.103414594E0,2.805221021E1,2.438785333E-1,5.072417150E-2,�
7.733333333E2,1.526944498E-1,2.937509642E1,2.063101259E-1,5.448398118E-2,�
7.766666667E2,1.464530935E0,2.672506197E1,4.194439209E-1,3.389708433E-2,�
7.800000000E2,1.344908713E0,2.684569361E1,1.990549415E-1,1.163058989E-1,�
7.833333333E2,1.467319182E0,2.805209198E1,3.263568411E-1,8.389410724E-2,�
7.866666667E2,6.209728618E-1,2.889743452E1,3.033750274E-1,6.626147074E-2,�
7.900000000E2,2.069663555E0,2.612136978E1,3.818054121E-1,2.353885912E-2,�
7.933333333E2,1.947332786E0,2.672495327E1,1.722308184E-1,1.273787636E-1,�
7.966666667E2,9.785682124E-1,2.576375724E1,4.198413646E-1,4.144354710E-2,�
8.000000000E2,-8.279914981E-1,2.708779462E1,1.984516658E-1,7.147242435E-2,�
8.033333333E2,9.878314890E-1,2.708673592E1,2.672598952E-1,3.585302362E-2,�
8.066666667E2,7.410781442E-1,2.793194605E1,2.940954721E-1,3.636804309E-2,�
8.100000000E2,1.348278739E0,2.901395495E1,1.639668388E-1,5.169947143E-2,�
8.133333333E2,1.827532332E0,2.781148150E1,1.804636150E-1,1.988383447E-2,�
8.166666667E2,1.344999419E0,2.781086865E1,5.510753871E-5,3.108469114E-2,�
8.200000000E2,1.827170089E0,2.781154275E1,5.425536605E-2,6.368855466E-3,�
8.233333333E2,1.706701192E0,2.781156350E1,5.104207500E-2,1.885486343E-2,�
8.266666667E2,1.585879522E0,2.805147957E1,5.425470362E-2,7.754023231E-3,�
8.300000000E2,1.345003208E0,2.781139322E1,6.314353461E-5,6.875959391E-3,�
